,name,athlete_id,gender,score,active,country,rank,price,is_team,links.self,links.results
276,SWITZERLAND II,3515214,f,0,True,CHE,87,2965,True,https://www.fantasyxc.se/api/athletes/3515214,https://www.fantasyxc.se/api/athletes/3515214/results
277,FRANCE I,3195402,f,0,True,FRA,87,2891,True,https://www.fantasyxc.se/api/athletes/3195402,https://www.fantasyxc.se/api/athletes/3195402/results
278,MOGSTAD Berit,3425827,f,0,True,NOR,87,229,False,https://www.fantasyxc.se/api/athletes/3425827,https://www.fantasyxc.se/api/athletes/3425827/results
279,POLAND I,3430261,f,0,True,POL,87,4151,True,https://www.fantasyxc.se/api/athletes/3430261,https://www.fantasyxc.se/api/athletes/3430261/results
280,MEIER Alina,3515252,f,0,True,CHE,87,222,False,https://www.fantasyxc.se/api/athletes/3515252,https://www.fantasyxc.se/api/athletes/3515252/results
281,DUCORDEAU Juliette,3195253,f,0,True,FRA,87,230,False,https://www.fantasyxc.se/api/athletes/3195253,https://www.fantasyxc.se/api/athletes/3195253/results
282,OLKKONEN Tiia,3185705,f,0,True,FIN,87,231,False,https://www.fantasyxc.se/api/athletes/3185705,https://www.fantasyxc.se/api/athletes/3185705/results
283,ITALY II,3295215,f,0,True,ITA,87,445,True,https://www.fantasyxc.se/api/athletes/3295215,https://www.fantasyxc.se/api/athletes/3295215/results
284,ERIKSSON Mia,3505231,f,0,False,SWE,87,215,False,https://www.fantasyxc.se/api/athletes/3505231,https://www.fantasyxc.se/api/athletes/3505231/results
285,DOLCI Flora,3195289,f,0,True,FRA,87,221,False,https://www.fantasyxc.se/api/athletes/3195289,https://www.fantasyxc.se/api/athletes/3195289/results
286,COMEAU Anne-Marie,3105184,f,0,False,CAN,87,224,False,https://www.fantasyxc.se/api/athletes/3105184,https://www.fantasyxc.se/api/athletes/3105184/results
287,KOREA I,3325102,f,0,True,KOR,87,667,True,https://www.fantasyxc.se/api/athletes/3325102,https://www.fantasyxc.se/api/athletes/3325102/results
288,HART Anne,3535468,f,0,False,USA,87,223,False,https://www.fantasyxc.se/api/athletes/3535468,https://www.fantasyxc.se/api/athletes/3535468/results
289,BEATTY Dahria,3105146,f,0,False,CAN,87,216,False,https://www.fantasyxc.se/api/athletes/3105146,https://www.fantasyxc.se/api/athletes/3105146/results
290,LATUILLIERE Enora,3195313,f,0,True,FRA,87,214,False,https://www.fantasyxc.se/api/athletes/3195313,https://www.fantasyxc.se/api/athletes/3195313/results
291,GOLOVAN Diana,3486232,f,0,True,RUS,87,220,False,https://www.fantasyxc.se/api/athletes/3486232,https://www.fantasyxc.se/api/athletes/3486232/results
292,PHINNEY Kelsey,3535584,f,0,False,USA,87,223,False,https://www.fantasyxc.se/api/athletes/3535584,https://www.fantasyxc.se/api/athletes/3535584/results
293,EIDUKA Patricija,3555052,f,0,True,LVA,87,717,False,https://www.fantasyxc.se/api/athletes/3555052,https://www.fantasyxc.se/api/athletes/3555052/results
