,rank,country,price,score,active,athlete_id,is_team,name,gender,links.self,links.results
264,94,POL,231,0,False,3435001,False,KOWALCZYK Justyna,f,https://www.fantasyxc.se/api/athletes/3435001,https://www.fantasyxc.se/api/athletes/3435001/results
265,94,LTU,1524,0,True,3785050,True,LITHUANIA I,f,https://www.fantasyxc.se/api/athletes/3785050,https://www.fantasyxc.se/api/athletes/3785050/results
266,94,SWE,221,0,True,3505954,False,OEHRN Rebecca,f,https://www.fantasyxc.se/api/athletes/3505954,https://www.fantasyxc.se/api/athletes/3505954/results
267,94,DEU,216,0,False,3205075,False,HERRMANN Denise,f,https://www.fantasyxc.se/api/athletes/3205075,https://www.fantasyxc.se/api/athletes/3205075/results
268,94,RUS,212,0,False,3486427,False,PIVOVAROVA Alexandra,f,https://www.fantasyxc.se/api/athletes/3486427,https://www.fantasyxc.se/api/athletes/3486427/results
269,94,DEU,232,0,True,3205422,False,PREUSSGER Julia,f,https://www.fantasyxc.se/api/athletes/3205422,https://www.fantasyxc.se/api/athletes/3205422/results
270,94,RUS,233,0,False,3486464,False,BUSHMAKINA Ekaterina,f,https://www.fantasyxc.se/api/athletes/3486464,https://www.fantasyxc.se/api/athletes/3486464/results
271,94,SWE,233,0,False,3505906,False,BJOERN Mimmi,f,https://www.fantasyxc.se/api/athletes/3505906,https://www.fantasyxc.se/api/athletes/3505906/results
272,94,DEU,213,0,False,3205260,False,SCHICHO Elisabeth,f,https://www.fantasyxc.se/api/athletes/3205260,https://www.fantasyxc.se/api/athletes/3205260/results
273,94,SVK,3285,0,True,3705085,True,SLOVAKIA I,f,https://www.fantasyxc.se/api/athletes/3705085,https://www.fantasyxc.se/api/athletes/3705085/results
274,94,RUS,216,0,True,3486901,False,MEKRYUKOVA Nataliya,f,https://www.fantasyxc.se/api/athletes/3486901,https://www.fantasyxc.se/api/athletes/3486901/results
275,94,CHE,225,0,True,3515289,False,STEINER Desiree,f,https://www.fantasyxc.se/api/athletes/3515289,https://www.fantasyxc.se/api/athletes/3515289/results
276,94,DEU,232,0,False,3205461,False,MANN Jenny,f,https://www.fantasyxc.se/api/athletes/3205461,https://www.fantasyxc.se/api/athletes/3205461/results
277,94,SWE,473,0,True,3505956,False,ROENNLUND Elina,f,https://www.fantasyxc.se/api/athletes/3505956,https://www.fantasyxc.se/api/athletes/3505956/results
278,94,SVK,232,0,True,3705041,False,KLEMENTOVA Barbora,f,https://www.fantasyxc.se/api/athletes/3705041,https://www.fantasyxc.se/api/athletes/3705041/results
279,94,CHN,231,0,True,3125046,False,LI Xin,f,https://www.fantasyxc.se/api/athletes/3125046,https://www.fantasyxc.se/api/athletes/3125046/results
280,94,POL,220,0,False,3435014,False,JASKOWIEC Sylwia,f,https://www.fantasyxc.se/api/athletes/3435014,https://www.fantasyxc.se/api/athletes/3435014/results
281,94,RUS,215,0,True,3486350,False,SEVERINA Irina,f,https://www.fantasyxc.se/api/athletes/3486350,https://www.fantasyxc.se/api/athletes/3486350/results
282,94,FRA,219,0,False,3195250,False,CHAMIOT MAITRAL Laura,f,https://www.fantasyxc.se/api/athletes/3195250,https://www.fantasyxc.se/api/athletes/3195250/results
283,94,DEU,215,0,True,3205689,False,LOESCHKE Jessica,f,https://www.fantasyxc.se/api/athletes/3205689,https://www.fantasyxc.se/api/athletes/3205689/results
284,94,CHE,2900,0,True,3515214,True,SWITZERLAND II,f,https://www.fantasyxc.se/api/athletes/3515214,https://www.fantasyxc.se/api/athletes/3515214/results
285,94,KAZ,230,0,True,3675035,False,SHEVCHENKO Anna,f,https://www.fantasyxc.se/api/athletes/3675035,https://www.fantasyxc.se/api/athletes/3675035/results
286,94,NOR,221,0,True,3425827,False,MOGSTAD Berit,f,https://www.fantasyxc.se/api/athletes/3425827,https://www.fantasyxc.se/api/athletes/3425827/results
287,94,POL,4061,0,True,3430261,True,POLAND I,f,https://www.fantasyxc.se/api/athletes/3430261,https://www.fantasyxc.se/api/athletes/3430261/results
288,94,FRA,220,0,True,3195253,False,DUCORDEAU Juliette,f,https://www.fantasyxc.se/api/athletes/3195253,https://www.fantasyxc.se/api/athletes/3195253/results
289,94,FIN,212,0,True,3185705,False,OLKKONEN Tiia,f,https://www.fantasyxc.se/api/athletes/3185705,https://www.fantasyxc.se/api/athletes/3185705/results
290,94,ITA,506,0,True,3295215,True,ITALY II,f,https://www.fantasyxc.se/api/athletes/3295215,https://www.fantasyxc.se/api/athletes/3295215/results
