,name,id,price,sex,points,elo,elo1,race1,elo2,race2,place
15,Jasmi JOENSUU,3185551,717,f,12.2682566400734,1263.2515470834,1479.62411686187,12.2682566398456,1263.2515470834,0.000000000227795648577651,31
45,Kristine Stavaas SKISTAD,3426626,632,f,11.6689683088556,1300,1474.27665632056,11.6087812754584,1300,0.0601870333972339,32
64,Moa LUNDGREN,3506079,1005,f,10.9349926968373,1354.36305013619,1462.40245945556,10.2256560316178,1354.36305013619,0.709336665219465,33
62,Moa OLSSON,3505998,2062,f,9.09769638357825,1476.30469381833,1349.26121137803,1.96178936951231,1476.30469381833,7.13590701406594,34
44,Mathilde MYHRVOLD,3426496,337,f,8.5060616384338,1307.14684507623,1445.14208560288,8.40853039687345,1307.14684507623,0.0975312415603504,35
40,Anne Kjersti KALVAA,3425669,1991,f,7.60924194461051,1432.46922395429,1386.43874720982,3.79376955093807,1432.46922395429,3.81547239367244,36
30,Elisa BROCARD,3295000,214,f,7.21240172664456,1303.42665400308,1431.59049353051,7.13572403736465,1303.42665400308,0.0766776892799129,37
24,Pia FINK,3205407,871,f,6.87980770781936,1445.27822548397,1355.73686006273,2.22743595639764,1445.27822548397,4.65237175142172,38
26,Sofie KREHL,3205434,483,f,6.83249001388719,1432.40505908216,1372.5665092672,3.02094839050463,1432.40505908216,3.81154162338256,39
18,Delphine CLAUDEL,3195219,1482,f,6.62884719995202,1458.69950957339,1318.91149659601,0.984084812277758,1458.69950957339,5.64476238767426,40
60,Anna DYVIK,3505828,3169,f,5.06365144044249,1300.12096500488,1404.92809521962,5.00292477458062,1300.12096500488,0.0607266658618699,41
55,Hristina MATSOKINA,3486563,523,f,4.20743782858643,1286.27947500078,1392.87041686032,4.19052191328677,1286.27947500078,0.0169159152996636,42
32,Caterina GANZ,3295241,255,f,4.06550067506173,1357.51491910622,1377.58052854688,3.28748548453839,1357.51491910622,0.77801519052334,43
71,Alina MEIER,3515252,222,f,3.63836856023357,1286.19473494162,1383.5155672927,3.62162110572197,1286.19473494162,0.0167474545115977,44
57,Veronika STEPANOVA,3487065,229,f,3.62113221865323,1421.12770413076,1293.35845418375,0.461304498901837,1421.12770413076,3.15982771975139,45
53,Anastasia RYGALINA,3486176,230,f,3.47452451921693,1416.23627873526,1300,0.573738481219773,1416.23627873526,2.90078603799716,46
0,Riitta-Liisa ROPONEN,1255374,263,f,3.18703855564165,1374.19826275507,1349.6105017391,1.9755768756013,1374.19826275507,1.21146168004035,47
9,Tereza BERANOVA,3155344,338,f,2.7743029213949,1300,1366.43497009518,2.71411588799767,1300,0.0601870333972339,48
67,Moa HANSSON,3506276,230,f,2.62809956637603,1300,1363.35845418375,2.5679125329788,1300,0.0601870333972339,49
79,Hannah HALVORSEN,3535606,228,f,2.30223612095458,1285.13014361565,1357.13277988892,2.28751529088242,1285.13014361565,0.0147208300721577,50
80,Patricija EIDUKA,3555052,717,f,2.05574019017412,1347.57372115796,1335.9578506119,1.48101089909066,1347.57372115796,0.574729291083463,51
51,Lilia VASILIEVA,3486003,301,f,1.97036576455205,1395.94303786881,1198.35845418375,0,1395.94303786881,1.97036576455205,52
78,Hailey SWIRBUL,3535602,1516,f,1.94449194358308,1366.39680667006,1317.58956295349,0.95078481704196,1366.39680667006,0.993707126541116,53
2,Teresa STADLOBER,3055067,4418,f,1.92320018069374,1394.76532490284,1140.06237316945,0,1394.76532490284,1.92320018069374,54
29,Coletta RYDZEK,3205570,232,f,1.7315272892322,1300,1341.51079109658,1.67134025583497,1300,0.0601870333972339,55
14,Katri LYLYNPERA,3185447,713,f,1.30915844597265,1192.79224981261,1330.54172148013,1.30915844597265,1192.79224981261,0,56
7,Petra HYNCICOVA,3155270,225,f,1.2996297934122,1240.80263465362,1330.22858422298,1.2996297934122,1240.80263465362,0,57
58,Evgeniya KRUPITSKAYA,3487123,215,f,0.635404294186676,1300.3298759081,1300,0.573738481219773,1300.3298759081,0.061665812966903,58
90, SLOVAKIA I,3705085,3335,f,0.633925514617007,1300,1300,0.573738481219773,1300,0.0601870333972339,59
16,Jasmin KAHARA,3185828,218,f,0.633925514617007,1300,1300,0.573738481219773,1300,0.0601870333972339,60
19,Emilie BULLE,3195224,226,f,0.633925514617007,1300,1300,0.573738481219773,1300,0.0601870333972339,61
20,Juliette DUCORDEAU,3195253,230,f,0.573738481219773,1220.68932632537,1300,0.573738481219773,1220.68932632537,0,62
49,Weronika KALETA,3435202,223,f,0.416678774960229,1160.81054134014,1290.43804503197,0.416678774960229,1160.81054134014,0,63
28,Antonia FRAEBEL,3205491,298,f,0.371480632465117,1335.06277335021,1197.06477825737,0,1335.06277335021,0.371480632465117,64
6,Petra NOVAKOVA,3155249,215,f,0.269854299125669,1189.07214421333,1279.127895607,0.269854299125669,1189.07214421333,0,65
48,Monika SKINDER,3435201,233,f,0.244683612432504,1279.94473494162,1276.14397322744,0.237619153291044,1279.94473494162,0.00706445914146021,66
3,Lisa UNTERWEGER,3055108,225,f,0.244070757869896,1190.83404642012,1276.76078420157,0.244070757869896,1190.83404642012,0,67
84,Anastasia KIRILLOVA,3665115,226,f,0.216782574183006,1264.84544985484,1274.07510871142,0.216770109681671,1264.84544985484,0.0000124645013352364,68
11,Anne KYLLOENEN,3185137,1571,f,0.211934458136377,1319.90679307991,1237.39262474972,0.0168548051561251,1319.90679307991,0.195079652980252,69
10,Zuzana HOLIKOVA,3155357,231,f,0.172810587208165,1270.26291995681,1269.1790591678,0.172137828243569,1270.26291995681,0.000672758964595685,70
25,Nadine HERRMANN,3205424,225,f,0.126187410208814,1257.97368764545,1263.2076215369,0.126187410208814,1257.97368764545,0,71
4,Dahria BEATTY,3105146,216,f,0.112002436952454,1167.01936876104,1261.08977170086,0.112002436952454,1167.01936876104,0,72
72,Lea FISCHER,3515273,223,f,0.0922361120979757,1255.45900108688,1257.83406029628,0.0922361120979757,1255.45900108688,0,73
70,Lydia HIERNICKEL,3515238,229,f,0.0546310045929784,1251.28530398412,1250.12823091645,0.0546310045929784,1251.28530398412,0,74
47,Izabela MARCISZ,3435197,229,f,0.034655516125559,1293.24103570071,1189.52674434368,0,1293.24103570071,0.034655516125559,75
33,Martina DI CENTA,3295439,215,f,0.0267780626588006,1155.47966437603,1241.76121137803,0.0267780626588006,1155.47966437603,0,76
22,Flora DOLCI,3195289,221,f,0.0213030979841234,1269.78929046144,1239.26121137803,0.0207463644483103,1269.78929046144,0.000556733535813104,77
1,Jessica YEATON,3045076,215,f,0.0202352527392057,1247.43234973367,1239.02921553414,0.0202352527392057,1247.43234973367,0,78
56,Anastasiya FALEEVA,3486820,227,f,0.01565345238182,1246.71857479148,1236.76121137803,0.01565345238182,1246.71857479148,0,79
17,Coralie BENTZ,3195205,211,f,0.0142629720326546,1227.32198143775,1235.99088115707,0.0142629720326546,1227.32198143775,0,80
88,Viktoriya OLEKH,3695052,211,f,0.00841273398083756,1190.21913773757,1232.08512920644,0.00841273398083756,1190.21913773757,0,81
89,Alena PROCHAZKOVA,3705003,226,f,0.00719705326464812,1205.22945401779,1231.06839778448,0.00719705326464812,1205.22945401779,0,82
73,Desiree STEINER,3515289,227,f,0.00389307519342764,1244.50634264817,1227.58754303578,0.00389307519342764,1244.50634264817,0,83
83,Valentyna KAMINSKA,3665023,222,f,0.00303311537990599,1139.83223020346,1226.38348881517,0.00303311537990599,1139.83223020346,0,84
