,name,id,price,sex,points,elo,avg_points,elo1,race1,place
54,Kevin BOLGER,3530713,718,m,2.88039893042901,1444.66857261185,7.60869565217391,1444.66857261185,2.88039893042901,31
10,Jan PECHOUSEK,3150637,213,m,2.80886723485607,1489.37888298343,3.18181818181818,1489.37888298343,2.80886723485607,32
9,Tomas KALIVODA,3150635,222,m,2.7435802558477,1500.15567221809,2.33333333333333,1500.15567221809,2.7435802558477,33
37,Haakon SKAANES,3423627,223,m,2.72746777285369,1406.25482122234,12,1406.25482122234,2.72746777285369,34
47,Oskar SVENSSON,3501255,3459,m,2.62020234804086,1376.78904280904,16.3214285714286,1376.78904280904,2.62020234804086,35
7,Ludek SELLER,3150549,229,m,2.00009027979674,1498.58000801359,0.866666666666667,1498.58000801359,2.00009027979674,36
44,Karl-Johan WESTBERG,3500991,211,m,1.99815736372558,1408.28596093358,6.95652173913043,1408.28596093358,1.99815736372558,37
53,Logan HANNEMAN,3530583,314,m,1.75406652610289,1413.26020193595,5.05882352941176,1413.26020193595,1.75406652610289,38
58,Miha SIMENC,3560101,483,m,1.51413562364301,1393.60157837264,5.53125,1393.60157837264,1.51413562364301,39
29,Michael HELLWEGER,3290533,216,m,1.51134714484044,1424.63688715885,3,1424.63688715885,1.51134714484044,40
60,Aliaksandr VORANAU,3660055,231,m,0.984948047519148,1431.08206676473,0.882352941176471,1431.08206676473,0.984948047519148,41
6,Graham RITCHIE,3100412,227,m,0.9836151843173,1389.24095257397,2.8,1389.24095257397,0.9836151843173,42
46,Olof JONSSON,3501252,224,m,0.672228681524049,1377.94366664415,1.8,1377.94366664415,0.672228681524049,43
20,Arnaud CHAUTEMPS,3190429,229,m,0.618748198216053,1396.54984961296,0.857142857142857,1396.54984961296,0.618748198216053,44
31,Martin HIMMA,3390240,232,m,0.246666665460601,1337.56985934737,1,1337.56985934737,0.246666665460601,45
5,Russell KENNEDY,3100268,214,m,0.115680929370037,1289.76701908624,1.57142857142857,1289.76701908624,0.115680929370037,46
2,Michael FOETTINGER,3050256,217,m,0.109938592667046,1268.02994370036,2.6,1268.02994370036,0.109938592667046,47
43,Denis FILIMONOV,3483152,229,m,0.094595207429949,1379.94960631366,0,1379.94960631366,0.094595207429949,48
57,Luke JAGER,3530911,214,m,0.0670951093262288,1368.66957566774,0,1368.66957566774,0.0670951093262288,49
4,Lukas MRKONJIC,3050281,217,m,0.00868058185908568,1269.2857930931,0.333333333333333,1269.2857930931,0.00868058185908568,50
23,Anian SOSSAU,3200880,224,m,0.00237323792734002,1309.41786616596,0,1309.41786616596,0.00237323792734002,51
21,Thomas BING,3200241,215,m,0.00193685775112908,1211.82399359956,1.5,1211.82399359956,0.00193685775112908,52
39,Kamil BURY,3430233,231,m,0.000763723194171699,1301.06476420762,0,1301.06476420762,0.000763723194171699,53
36,Maja DAHLQVIST,3505800,10639,f,42.455900767366,1718.863288242,41.9615384615385,1718.863288242,42.455900767366,1
48,Anamarija LAMPIC,3565062,6894,f,35.0220676651861,1704.27685174828,27.5277777777778,1704.27685174828,35.0220676651861,2
37,Jonna SUNDLING,3505809,3317,f,27.7350255291381,1619.38471998522,44.3636363636364,1619.38471998522,27.7350255291381,3
43,Jessie DIGGINS,3535410,11933,f,25.3931550441805,1629.83293341477,30.2037037037037,1629.83293341477,25.3931550441805,4
40,Laurien VAN DER GRAAFF,3515087,1424,f,15.7662401693982,1566.40525609068,20.8101265822785,1566.40525609068,15.7662401693982,5
47,Eva UREVC,3565055,1302,f,15.6798519472627,1581.62763060476,15.6666666666667,1581.62763060476,15.6798519472627,6
27,Mathilde MYHRVOLD,3426496,546,f,14.1538138187137,1554.03140843201,19,1554.03140843201,14.1538138187137,7
31,Natalia NEPRYAEVA,3486010,8151,f,14.084619369443,1557.77826226086,17.5483870967742,1557.77826226086,14.084619369443,8
20,Greta LAURENT,3295193,738,f,13.9830058947669,1592.13854377203,8.55172413793103,1592.13854377203,13.9830058947669,9
4,Katerina JANATOVA,3155324,633,f,8.37308023101853,1519.43405898585,8.11111111111111,1519.43405898585,8.37308023101853,10
25,Ane Appelkvist STENSETH,3426112,1055,f,7.97250948037515,1474.91445984663,17.6363636363636,1474.91445984663,7.97250948037515,11
7,Jasmi JOENSUU,3185551,1247,f,6.97648985902742,1486.77770533625,10,1486.77770533625,6.97648985902742,12
13,Victoria CARL,3205403,2654,f,5.66326974804569,1479.21026212327,6.64285714285714,1479.21026212327,5.66326974804569,13
39,Moa LUNDGREN,3506079,1157,f,4.84135592689557,1420.477343164,16.1111111111111,1420.477343164,4.84135592689557,14
44,Julia KERN,3535562,1113,f,4.20451134068776,1421.79541061269,11.75,1421.79541061269,4.20451134068776,15
32,Hristina MATSOKINA,3486563,498,f,3.77357506811257,1438.51008609073,6.2,1438.51008609073,3.77357506811257,16
16,Coletta RYDZEK,3205570,215,f,3.63274777744698,1409.43020937907,11.2,1409.43020937907,3.63274777744698,17
28,Kristine Stavaas SKISTAD,3426626,814,f,3.4230178118552,1378.96907686093,18,1378.96907686093,3.4230178118552,18
24,Magni SMEDAAS,3426110,229,f,3.18954580452812,1395.75190937837,11.5,1395.75190937837,3.18954580452812,19
26,Julie MYHRE,3426163,231,f,3.16991413301197,1383.5285236347,14.5,1383.5285236347,3.16991413301197,20
